endpoint,seed,feature,level_type,level,n,raw_mae,primary_mae,baseline_mae,graph_mae,delta_baseline_minus_primary,raw_to_primary_gap_closed,primary_shift_abs,baseline_shift_abs
IC50,23,readout_class,transition,htrf_alphascreen->absorbance_color,7,0.3110990861532573,0.23573076202499418,0.26409606735318797,0.23942221754991103,0.028365305328193785,0.24226469148525334,0.3747741014250936,0.403840720322191
IC50,23,readout_class,transition,htrf_alphascreen->binding,3,0.24272945084108422,0.24272945084108422,0.24272945084108422,0.24272945084108422,0.0,0.0,0.007186019233650143,0.0
IC50,23,readout_class,transition,htrf_alphascreen->cell_viability,9,0.3114635954166343,0.033668352672342666,0.043881377048651,0.019030952261537948,0.010213024376308333,0.8919027675536024,0.2777952427442917,0.26758221836798335
IC50,23,readout_class,transition,htrf_alphascreen->enzyme_activity,177,0.6018487257887932,0.28102456402170567,0.2884670584507003,0.2895844922884258,0.007442494428994639,0.5330644529430713,0.4893388250618266,0.5028473348343577
IC50,23,readout_class,transition,htrf_alphascreen->fluorescence,299,0.35297652264121065,0.14639846530033626,0.14760566234634556,0.1446504932203771,0.0012071970460093007,0.5852458848965838,0.29563657752259564,0.3034611528925339
IC50,23,readout_class,transition,htrf_alphascreen->htrf_alphascreen,1506,0.178519557526949,0.08360579734733552,0.08221265023942737,0.08246968927159679,-0.001393147107908152,0.5316714957983552,0.15968581706499105,0.1665152715780724
IC50,23,readout_class,transition,htrf_alphascreen->luminescence,56,1.2239081145350685,0.2864625149891889,0.28274013328252,0.28209320118377557,-0.003722381706668887,0.7659444270471165,1.1102961254968238,1.1242901272195935
IC50,23,readout_class,transition,htrf_alphascreen->not_extracted,87,0.8388354192786913,0.32983749533927115,0.33541580302699503,0.327741291221098,0.005578307687723882,0.6067911681377307,0.6417575611328029,0.6654904358948921
IC50,23,readout_class,transition,htrf_alphascreen->radio,46,0.36527994586403845,0.13008618477606576,0.13238777322207226,0.1280092441668138,0.002301588446006503,0.6438726345396323,0.24269143811922797,0.23868331109960927
IC50,23,readout_class,transition,luminescence->absorbance_color,9,0.5533768981629975,0.5302141542757061,0.5533768981629975,0.5287645524155634,0.023162743887291448,0.041857085043092726,0.023578036149810702,0.0
IC50,23,readout_class,transition,luminescence->binding,55,0.6222448559477535,0.41320581159817055,0.4205121776073129,0.4088333139655957,0.007306366009142362,0.3359433868379537,0.6701354059011404,0.6734219143538148
IC50,23,readout_class,transition,luminescence->cell_viability,4,0.5145717569955437,0.2704256345443725,0.22322841781785208,0.25443118046035806,-0.04719721672652044,0.4744646769513344,0.6445655442655362,0.6788929621721769
IC50,23,readout_class,transition,luminescence->enzyme_activity,145,0.8075489284514837,0.3804306694422763,0.40212386642725556,0.39396701841006876,0.021693196984979235,0.5289069726440334,0.5941031776700235,0.616525435799037
IC50,23,readout_class,transition,luminescence->fluorescence,246,0.8341343987429611,0.3884423919104586,0.43315478505544835,0.4015118249704408,0.04471239314498976,0.5343167809697807,0.711407531549997,0.7471216053878786
