dataset,endpoint,method,scope,n_runs,n_mean,mean_mae,std_mae,mean_rmse,mean_bias
BindingDB_Articles_202608,EC50,external_somol_guarded_stack,seen_assay_pair,5,16.0,0.22831018933200364,0.1397164492889105,0.3453640236715043,8.881784197001253e-18
BindingDB_Articles_202608,EC50,external_somol_guarded_stack,single_chain_target,5,122.0,0.41156628933794853,0.08279209994760005,0.6498642161212025,-1.0545875797363929e-17
BindingDB_Articles_202608,EC50,identity_bias,all,5,122.0,0.4543698114189644,0.061944602366927275,0.7759723932385495,0.0
BindingDB_Articles_202608,EC50,identity_bias,both_assays_seen,5,82.0,0.5187120558303491,0.08856365927202328,0.8379224124793028,0.0
BindingDB_Articles_202608,EC50,identity_bias,cold_assay_pair,5,106.0,0.48821190398719405,0.0733185688902322,0.8202677608896669,0.0
BindingDB_Articles_202608,EC50,identity_bias,cold_dst_assay,5,28.0,0.3432035596680084,0.20733274166642862,0.6223727851106797,0.005197174153958727
BindingDB_Articles_202608,EC50,identity_bias,seen_assay_pair,5,16.0,0.23968445616083472,0.1546398328247652,0.3447750457602249,0.0
BindingDB_Articles_202608,EC50,identity_bias,single_chain_target,5,122.0,0.4543698114189644,0.061944602366927275,0.7759723932385495,0.0
BindingDB_Articles_202608,EC50,pair_mean_bias_fallback,all,5,122.0,0.4530166207485859,0.06085700119659797,0.7762110825405597,0.0
BindingDB_Articles_202608,EC50,pair_mean_bias_fallback,both_assays_seen,5,82.0,0.5170968971697165,0.08917526903961545,0.8382396033515368,0.0
BindingDB_Articles_202608,EC50,pair_mean_bias_fallback,cold_assay_pair,5,106.0,0.48821190398719405,0.0733185688902322,0.8202677608896669,0.0
BindingDB_Articles_202608,EC50,pair_mean_bias_fallback,cold_dst_assay,5,28.0,0.3432035596680084,0.20733274166642862,0.6223727851106797,0.005197174153958727
BindingDB_Articles_202608,EC50,pair_mean_bias_fallback,seen_assay_pair,5,16.0,0.22707947753950397,0.1409555290110053,0.34527956555910844,0.0
BindingDB_Articles_202608,EC50,pair_mean_bias_fallback,single_chain_target,5,122.0,0.4530166207485859,0.06085700119659797,0.7762110825405597,0.0
BindingDB_Articles_202608,EC50,robust_trimmed_bias_fallback,all,5,122.0,0.4534674450553305,0.060158622914806614,0.7763166686778054,0.0
BindingDB_Articles_202608,EC50,robust_trimmed_bias_fallback,both_assays_seen,5,82.0,0.5177005046495016,0.08848891780915727,0.8384218432383246,0.0
BindingDB_Articles_202608,EC50,robust_trimmed_bias_fallback,cold_assay_pair,5,106.0,0.48821190398719405,0.0733185688902322,0.8202677608896669,0.0
BindingDB_Articles_202608,EC50,robust_trimmed_bias_fallback,cold_dst_assay,5,28.0,0.3432035596680084,0.20733274166642862,0.6223727851106797,0.005197174153958727
BindingDB_Articles_202608,EC50,robust_trimmed_bias_fallback,seen_assay_pair,5,16.0,0.23129704490860278,0.1441958687142907,0.3458992063854463,0.0
BindingDB_Articles_202608,EC50,robust_trimmed_bias_fallback,single_chain_target,5,122.0,0.4534674450553305,0.060158622914806614,0.7763166686778054,0.0
BindingDB_Articles_202608,IC50,deming_bias_fallback,all,5,3158.0,0.34495114078196687,0.06786459844763297,0.6913744172815937,0.0022137699379378944
BindingDB_Articles_202608,IC50,deming_bias_fallback,both_assays_seen,5,2674.4,0.31539502493500954,0.07488402286751242,0.6609224012224768,0.002661899395453428
BindingDB_Articles_202608,IC50,deming_bias_fallback,cold_assay_pair,5,1480.8,0.5545416166720307,0.10123528806152433,0.9024617636269088,-4.3182108547428836e-19
BindingDB_Articles_202608,IC50,deming_bias_fallback,cold_dst_assay,5,320.2,0.49272907163448976,0.06210370666009499,0.8147760022082398,0.004791387225795118
BindingDB_Articles_202608,IC50,deming_bias_fallback,seen_assay_pair,5,1677.2,0.15471912649875016,0.00997725186093865,0.418476875771589,0.004426330639606565
BindingDB_Articles_202608,IC50,deming_bias_fallback,single_chain_target,5,2927.6,0.3244282043215133,0.05492900252780684,0.6746204690247453,0.0027123285998178356
BindingDB_Articles_202608,IC50,external_somol_gauge,all,5,3158.0,0.3232419711913767,0.043439891441547904,0.6097603682908102,-2.3241018384075932e-18
BindingDB_Articles_202608,IC50,external_somol_gauge,both_assays_seen,5,2674.4,0.28350171737789964,0.05098957640212216,0.5577927239321199,-1.2660830557350796e-18
BindingDB_Articles_202608,IC50,external_somol_gauge,cold_assay_pair,5,1480.8,0.5356556010782619,0.06267992078584847,0.8281511172016824,1.2620517936333127e-18
