endpoint,seed,support_bucket,nominal_coverage,empirical_coverage,mean_interval_width,mean_abs_resid,n
KD,13,02_5-9,0.5,0.4174757281553398,0.11406985681791326,0.2838245100882036,206
KD,13,02_5-9,0.8,0.7475728155339806,0.6150483948594535,0.2838245100882036,206
KD,13,02_5-9,0.9,0.8203883495145631,1.0229921969260203,0.2838245100882036,206
KD,13,02_5-9,0.95,0.883495145631068,1.3848941206478538,0.2838245100882036,206
KD,13,03_10-29,0.5,0.5597609561752988,0.4295618862834747,0.28052739403109755,502
KD,13,03_10-29,0.8,0.8087649402390438,1.0283899054718546,0.28052739403109755,502
KD,13,03_10-29,0.9,0.9302788844621513,1.5460031764814035,0.28052739403109755,502
KD,13,03_10-29,0.95,0.954183266932271,1.87725783982135,0.28052739403109755,502
KD,13,04_30plus,0.5,0.5042492917847026,7.105427357601002e-15,0.1300224076596233,706
KD,13,04_30plus,0.8,0.8229461756373938,0.6337534807389426,0.1300224076596233,706
KD,13,04_30plus,0.9,0.9277620396600567,1.0029643429550132,0.1300224076596233,706
KD,13,04_30plus,0.95,0.9674220963172805,1.2336108016556433,0.1300224076596233,706
KD,13,all,0.5,0.5235531628532974,0.2000330947484752,0.2236239302394273,1486
KD,13,all,0.8,0.8014804845222072,0.8195274872258722,0.2236239302394273,1486
KD,13,all,0.9,0.8963660834454913,1.2002360218475396,0.2236239302394273,1486
KD,13,all,0.95,0.9407806191117093,1.573421137596436,0.2236239302394273,1486
KD,17,00_zero,0.5,0.4444444444444444,0.22780179866516548,0.2661712767897538,36
KD,17,00_zero,0.8,0.8333333333333334,0.826859397528942,0.2661712767897538,36
KD,17,00_zero,0.9,0.9444444444444444,2.4152166210034913,0.2661712767897538,36
KD,17,00_zero,0.95,1.0,3.0257827721729567,0.2661712767897538,36
KD,17,01_1-4,0.5,0.3,0.040456161419596626,0.4498811557881373,40
KD,17,01_1-4,0.8,0.575,0.7735221314965891,0.4498811557881373,40
KD,17,01_1-4,0.9,0.675,0.963952757336114,0.4498811557881373,40
KD,17,01_1-4,0.95,0.7,0.9971315918512005,0.4498811557881373,40
KD,17,02_5-9,0.5,0.7,0.9453099952118471,0.3744197628918241,60
KD,17,02_5-9,0.8,0.9166666666666666,2.0258033414915015,0.3744197628918241,60
KD,17,02_5-9,0.9,0.9333333333333333,2.5056083959620112,0.3744197628918241,60
KD,17,02_5-9,0.95,0.9833333333333333,2.945295551948878,0.3744197628918241,60
KD,17,03_10-29,0.5,0.5288135593220339,0.326777524465685,0.3004626372892431,590
KD,17,03_10-29,0.8,0.8067796610169492,0.8738183837339543,0.3004626372892431,590
KD,17,03_10-29,0.9,0.8728813559322034,1.2503503227038537,0.3004626372892431,590
KD,17,03_10-29,0.95,0.9474576271186441,2.3078291241837747,0.3004626372892431,590
KD,17,04_30plus,0.5,0.5052356020942408,1.7763568394002505e-14,0.1369537510840933,764
KD,17,04_30plus,0.8,0.7918848167539267,0.5718628257938221,0.1369537510840933,764
KD,17,04_30plus,0.9,0.9162303664921466,0.9840788387112287,0.1369537510840933,764
KD,17,04_30plus,0.95,0.9620418848167539,1.1952047147251252,0.1369537510840933,764
KD,17,all,0.5,0.47516778523489933,0.14002837233863286,0.22278404013313208,1490
KD,17,all,0.8,0.8046979865771812,0.7883330984722022,0.22278404013313208,1490
KD,17,all,0.9,0.8993288590604027,1.1687106832049352,0.22278404013313208,1490
KD,17,all,0.95,0.9389261744966443,1.5535671336144128,0.22278404013313208,1490
KD,23,00_zero,0.5,0.7872340425531915,1.2302879446247639,0.428362766394832,94
KD,23,00_zero,0.8,0.851063829787234,1.7955105802750957,0.428362766394832,94
KD,23,00_zero,0.9,0.9680851063829787,2.4952676706540435,0.428362766394832,94
KD,23,00_zero,0.95,0.9893617021276596,2.878397226963962,0.428362766394832,94
KD,23,01_1-4,0.5,0.5882352941176471,0.5691737114401505,0.3444775347189559,34
KD,23,01_1-4,0.8,0.8529411764705882,1.5213034224859454,0.3444775347189559,34
KD,23,01_1-4,0.9,0.9411764705882353,2.33655039476416,0.3444775347189559,34
KD,23,01_1-4,0.95,0.9411764705882353,2.41380604446282,0.3444775347189559,34
KD,23,02_5-9,0.5,0.5294117647058824,0.15955223103075955,0.2260582037980356,170
KD,23,02_5-9,0.8,0.7647058823529411,0.5629240729903451,0.2260582037980356,170
KD,23,02_5-9,0.9,0.8470588235294118,0.9768489767829003,0.2260582037980356,170
KD,23,02_5-9,0.95,0.8588235294117647,1.3106565854533643,0.2260582037980356,170
KD,23,03_10-29,0.5,0.43416370106761565,0.3411789549421522,0.32556278089943175,562
KD,23,03_10-29,0.8,0.693950177935943,0.8606672533273212,0.32556278089943175,562
KD,23,03_10-29,0.9,0.8309608540925267,1.2449814817345288,0.32556278089943175,562
KD,23,03_10-29,0.95,0.9217081850533808,1.601725713517472,0.32556278089943175,562
KD,23,04_30plus,0.5,0.602803738317757,1.0658141036401503e-14,0.13835920976045182,856
KD,23,04_30plus,0.8,0.7675233644859814,0.5281242309584541,0.13835920976045182,856
KD,23,04_30plus,0.9,0.8960280373831776,0.9249324907605148,0.13835920976045182,856
KD,23,04_30plus,0.95,0.9521028037383178,1.1297582326492328,0.13835920976045182,856
KD,23,all,0.5,0.48543123543123545,0.14985461117923293,0.22832750424688353,1716
KD,23,all,0.8,0.7441724941724942,0.7322349323611644,0.22832750424688353,1716
KD,23,all,0.9,0.8607226107226107,1.0567513184645139,0.22832750424688353,1716
KD,23,all,0.95,0.9155011655011654,1.3922230794099366,0.22832750424688353,1716
