scenario,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
direct_pair_low_support_1_4,classic,ours_rerun_same_split,pair_isotonic,macro_assay_pair,20,0.5853543967886089,0.1312524543097562,0.5909988721205836,0.13252391316104745,0.03947701364248622,1914.6,1625.4
direct_pair_low_support_1_4,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_target,20,0.35443364170391356,0.13326598676758886,0.42100854696007906,0.13633170521013946,-0.007197580283144847,1914.6,89.0
direct_pair_low_support_1_4,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,micro,20,0.4180455347169062,0.13766536149688172,0.7394308778490035,0.19320019115655518,0.003950917360016078,1914.6,1.0
direct_pair_low_support_1_4,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_assay_pair,20,0.4303911921090773,0.13936329828116456,0.4359563442875725,0.13994308374277006,0.0045731645400615166,1914.6,1625.4
direct_pair_low_support_1_4,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_target,20,0.32251695460966195,0.11984776806553595,0.39122135509364386,0.12429257781458707,-0.01698486756527292,1914.6,89.0
direct_pair_low_support_1_4,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,micro,20,0.39539985747309814,0.14012604953773145,0.7111361487352632,0.1904541138773865,-0.010110706329764744,1914.6,1.0
direct_pair_low_support_1_4,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_assay_pair,20,0.4094549648844901,0.1433531023694613,0.41649600664855135,0.14660014773719657,-0.012899215690123044,1914.6,1625.4
direct_pair_low_support_1_4,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_target,20,0.40584325887123585,0.15556745072100311,0.47382511669068383,0.1464459652816074,0.0,1914.6,89.0
direct_pair_low_support_1_4,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,micro,20,0.4570171663898289,0.13366824322064474,0.8443152798220149,0.14634868989020752,0.0,1914.6,1.0
direct_pair_low_support_1_4,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_assay_pair,20,0.47372381464504876,0.14740354964142752,0.4797345115028209,0.1493324769844077,-1.073722805169671e-18,1914.6,1625.4
direct_pair_low_support_1_4,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,micro,20,0.8347056407411897,0.38313658577531123,2.3123908143950898,2.5404715187153215,0.03870013937142274,1914.6,1.0
direct_pair_low_support_1_4,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_assay_pair,20,0.8542106824259077,0.3791868519980181,0.8686036363439756,0.3884224310182977,0.029307046838293722,1914.6,1625.4
direct_pair_low_support_1_4,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_target,20,0.913471208428485,0.5052375943451978,1.1942523836227779,0.7655807971119974,0.0651987161839405,1914.6,89.0
direct_pair_low_support_1_4,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,micro,20,0.6096497673254722,0.11766662390788273,0.8943668240079518,0.15062535215083356,2.5915230509881967e-07,1914.6,1.0
